date,SPY,AMZN,JPM,PFE,TSLA,WMT,BA,PEP,MRO,DPZ,SPY
2018-01-12,-0.034146,-0.000260622,-0.00355637,0.001640801,0.011356335,-0.001785847,-0.003128027,0.004081217,-0.031303292,-0.008847988,-0.034145886
2018-01-16,0.055135,-0.007584999,0.006392496,0.015722808,0.020663667,0.019765708,0.046206633,0.011137344,0.032365182,-0.006711815,0.055134541
2018-01-17,-0.047872,-0.00129814,0.002387041,-0.005123332,-0.007488477,0.015459164,-0.031398507,-0.001091331,-0.007993382,0.014422495,-0.047871785
2018-01-18,0.046715,0.000973701,-0.00220989,-0.001352712,0.01569299,0.002776428,-0.007169404,0.00936383,-0.005903059,0.012392598,0.046715437
2018-01-19,-0.043712,0.024968096,0.011612776,-0.000270809,0.00439007,0.008188848,0.000799185,0.011089227,0.036982522,0.012795951,-0.04371167
2018-01-22,0.045087,0.026196237,-0.001050097,-0.002983143,0.003492628,0.004258608,-0.00715575,-0.001729798,-0.003116551,0.015051221,0.045086927
2018-01-23,0.004097,-0.003698392,0.012702117,0.002983143,-0.019752145,-0.001039325,-0.00268536,-0.001319956,0.003116551,-0.003878795,0.004096591
2018-01-24,0.031874,0.014944675,0.000259328,0.008090805,-0.024140581,0.007627364,0.024846271,-0.001983126,-0.031614924,0.002784906,0.031874214
2018-01-25,-0.043072,0.017338593,0.005344527,0.046703209,0.015312795,0.016652438,0.000320542,0.007088224,0.008528844,-0.01169445,-0.043072048
2018-01-26,-0.014895,0.011086309,-0.001032122,0.000256308,0.019296333,0.010645356,-0.00701703,-0.017314066,-0.011745773,-0.006711204,-0.014894648
2018-01-29,-0.027953,0.014106289,-0.009424605,-0.031765629,-0.010670943,-0.016753168,-0.009167026,0.001836557,-0.030536538,0.002875281,-0.027952702
2018-01-30,0.020704,0.009049125,0.004852873,-0.020310455,0.024253813,-0.010544626,0.048154023,0.003414025,0.007172248,0.00415892,0.02070404
2018-01-31,0.035269,-0.042873442,0.010321104,0.003535949,-0.014384267,-0.010182854,0.007226124,0,0.013107874,0.008357829,0.035269035
2018-02-01,0.022396,0.028335704,-0.022410563,-0.005991096,-0.015873321,-0.009904741,-0.02275367,-0.013642078,-0.050636771,-0.019813444,0.022396049
2018-02-02,0.019528,-0.028335704,-0.049140405,-0.054446834,-0.03138186,-0.042925955,-0.059120945,-0.036120945,-0.04315542,-0.030116096,0.019527742
2018-02-05,0.013791,0.037309619,0.029969309,0.017441559,0.002518364,0.008060148,0.035925388,-0.007894082,0.026464279,0.002112897,0.013790839
2018-02-06,-0.00364,-0.018226717,0.006755979,-0.008539763,0.032493263,0.019141738,0.020928782,-0.000528761,-0.053648063,0.013579202,-0.003639815
2018-02-07,-0.004517,-0.047911725,-0.045217114,-0.039357913,-0.09024187,-0.027901541,-0.049561271,-0.029959648,-0.040617907,-0.062184526,-0.004516611
2018-02-08,0.042176,-0.008103817,0.019824499,0.01563678,-0.015376328,-0.006519897,0.009570186,0.009307533,-0.010901169,0.037171263,0.042175928
2018-02-09,-0.200376,0.03421674,0.015330837,0.014530704,0.016961199,0.001809799,0.032427999,0.006723227,0.047838095,0.027659857,-0.200375835
2018-02-12,0.133055,0.020195363,0.006156142,0.008046207,0.024806195,0.014262582,-0.001863063,0.001874387,-0.0123687,-0.01843482,0.133055189
2018-02-13,0.017384,0.025504195,0.022862164,0.007129543,-0.004179829,0.007104777,0.004912519,-0.027391651,0.053313717,0.008521283,0.017384046
2018-02-14,0.018841,0.007353743,0.004163953,0.014669015,0.035836812,0.014932086,0.033112409,0.016903378,-0.037876712,0.037058734,0.018840967
2018-02-15,-0.013873,-0.008981421,-0.007211426,0.015284411,0.004241553,0.014903445,-0.003991376,0.000810673,-0.041920495,0.013867484,-0.013873071
2018-02-16,-0.015273,0.013479635,0.000261566,-0.006918426,-0.002148391,-0.107398499,-0.004771548,-0.014328614,0.015898656,0.003391804,-0.015272667
2018-02-20,0.075437,0.009873809,0.004175694,-0.006967072,-0.004400713,-0.027906899,-0.0027772,-0.013610801,-0.035316511,0.040003689,0.075437155
2018-02-21,-0.24064,0.001630504,-0.001824631,-0.00055933,0.037886953,0.013565633,0.010024274,0.011599355,-0.007874142,-0.015431086,-0.240639897
2018-02-22,0.16027,0.009821433,0.020061824,0.014444828,0.016843269,0.001292853,0.002076914,0.003836532,0.023438691,0.008116879,0.160269569
2018-02-23,0.02483,0.014527352,0.012368811,0.022632162,0.015138307,0.002472963,0.018941501,0.011422529,-0.012953713,-0.00363345,0.024830113
2018-02-26,-0.070745,-0.006572423,-0.011942747,-0.007849601,-0.01815387,-0.017331449,0.003186297,-0.000450949,-0.022413434,-0.00682103,-0.07074542
2018-02-27,0.087637,0.000310789,-0.015975513,-0.013404785,-0.022852346,-0.016636688,-0.0066866,-0.010515573,-0.032523332,-0.018089702,0.087637293
2018-02-28,-0.030348,-0.012641933,-0.018084731,-0.018905081,-0.035998532,-0.010385938,-0.035177162,-0.007418031,0.000688506,0.001841802,-0.030347512
2018-03-01,0.001499,0.004542828,-0.000970189,0.008940997,0.012581879,-0.003486016,-0.014459451,0.00847294,0.022457503,0.001255599,0.001499081
2018-03-02,0.060837,0.015450746,0.015238022,0.004717844,-0.005295747,0.013538583,0.023172142,0.003570229,0.01932743,-0.015766784,0.060836601
2018-03-05,-0.20022,0.009166359,0.000868827,-0.006666781,-0.015569796,-0.010277403,-0.010916887,0.001369958,-0.007952136,0.008298368,-0.200220346
2018-03-06,0.073435,0.004775085,-0.00374102,0.001392564,0.012414997,-0.014932207,-0.005402731,0.002369822,-0.01542102,0.006840779,0.073434913
2018-03-07,0.024628,0.004430327,8.72E-05,0.015739588,-0.009676504,0.007993461,0.004858005,0.020188152,0.002024802,-0.000807736,0.024627537
2018-03-08,0.03053,0.017267882,0.028354871,0.007369862,-0.005881773,0.009058211,0.016466619,0.004095867,0.025958427,0.033024536,0.030530209
2018-03-09,-0.026792,0.012274778,-0.003224455,-0.00436048,0.05454166,-0.007353359,-0.029570729,0.00186438,-0.008578342,-0.011224047,-0.026791873
2018-03-12,0.046868,-0.006408229,-0.012055939,0.003816551,-0.01067881,0.002608282,-0.01616768,0.007510525,-0.018054588,-0.005681877,0.046867601
2018-03-13,0.004832,0.001774118,-0.011245954,-0.010943991,-0.045514762,-0.007160503,-0.025145947,-0.008753055,0.003368183,0.003580075,0.0048321
2018-03-14,0.041881,-0.0054707,0.002519507,0.006307616,-0.00315829,-0.001826517,-0.000848378,-0.005520915,0.002686445,0.000705661,0.041881457
2018-03-15,0.011142,-0.006746976,0.001734051,0.00545251,-0.013138855,0.018791488,0.001483924,-0.00313014,0.013986306,0.013009017,0.011142042
2018-03-16,-0.128392,-0.017166535,-0.007914182,-0.012310443,-0.024540064,-0.019477582,0.003896073,-0.011531808,-0.018018578,-0.009268567,-0.128391641
2018-03-19,0.018798,0.026558059,0.000960083,0,-0.009645826,0.005701386,0.017538682,-0.00417679,0.027235113,0.017071275,0.018797988
2018-03-20,0.036288,-0.00293524,0.000872018,-0.001652907,0.019073089,0.00261175,-0.001570871,-0.010611285,0.067156269,-0.014483253,0.03628801
2018-03-21,-0.023289,-0.02362924,-0.042643052,-0.018645313,-0.023753175,-0.011864165,-0.053278406,-0.007384304,-0.029852897,-0.00818197,-0.023288788
2018-03-22,0.056495,-0.032471436,-0.027103362,-0.031676233,-0.024762188,-0.019935678,0.004339846,-0.016721953,-0.005063246,0.001103554,0.05649514
